Location ID,Located On,Crossroad,Volume Count Start Date,AADT
rcl1561,Sare Road,From S. McCartney Ln. to E. Cathcart St.,11/15/15,13506
rcl1561,Sare Road,From S. McCartney Ln. to E. Cathcart St.,11/16/15,11936
rcl1561,Sare Road,From S. McCartney Ln. to E. Cathcart St.,11/16/15,13506
rcl1561,Sare Road,From S. McCartney Ln. to E. Cathcart St.,11/17/15,11936
rcl1561,Sare Road,From S. McCartney Ln. to E. Cathcart St.,11/17/15,13506
rcl1561,Sare Road,From S. McCartney Ln. to E. Cathcart St.,11/18/15,11936
rcl1561,Sare Road,From S. McCartney Ln. to E. Cathcart St.,11/18/15,13506
rcl1579,Countryside Lane,From W. Adams Hill Cir. To S. Star View Ln.,6/23/15,951
rcl1579,Countryside Lane,From W. Adams Hill Cir. To S. Star View Ln.,6/24/15,951
rcl1579,Countryside Lane,From W. Adams Hill Cir. To S. Star View Ln.,6/25/15,951
rcl2,10th Street,West of Morton St.,10/6/15,1556
rcl2,10th Street,West of Morton St.,10/7/15,1556
rcl2,10th Street,West of Morton St.,10/8/15,1556
rcl271,Countryside Lane,From S. Zona Ct. to S. Cutter Ct.,8/18/15,1407
rcl271,Countryside Lane,From S. Zona Ct. to S. Cutter Ct.,8/19/15,1407
rcl271,Countryside Lane,From S. Zona Ct. to S. Cutter Ct.,8/20/15,1407
rcl38,College Mall Road,S. of Covenanter,10/21/14,16914
rcl38,College Mall Road,S. of Covenanter,10/22/14,16914
rcl38,College Mall Road,S. of Covenanter,10/23/14,16914
rcl435,Kinser Pike,From W. Brookdale Dr. to W. Amaryllis Dr.,9/9/14,9053
rcl435,Kinser Pike,From W. Brookdale Dr. to W. Amaryllis Dr.,9/10/14,9053
rcl435,Kinser Pike,From W. Brookdale Dr. to W. Amaryllis Dr.,9/11/14,9053
rcl452,2nd Street,Between S. Weimer Rd. and Allen St.,4/8/14,20147
rcl452,2nd Street,Between S. Weimer Rd. and Allen St.,4/9/14,20147
rcl452,2nd Street,Between S. Weimer Rd. and Allen St.,4/10/14,20147
rcl461,Rogers Street,From W. That Rd. to W. Baywood Dr.,9/3/14,4969
rcl461,Rogers Street,From W. That Rd. to W. Baywood Dr.,9/4/14,4969
rcl461,Rogers Street,From W. That Rd. to W. Baywood Dr.,9/5/14,4969
rcl474,Highland Avenue,From E. Winslow Rd. to E. Winslow Farm Rd.,10/13/15,2150
rcl474,Highland Avenue,From E. Winslow Rd. to E. Winslow Farm Rd.,10/14/15,2150
rcl474,Highland Avenue,From E. Winslow Rd. to E. Winslow Farm Rd.,10/15/15,2150
rcl478,Moores Pike,From S. Clarizz Blvd. to S. Fenbrook Ln.,11/10/15,6959
rcl478,Moores Pike,From S. Clarizz Blvd. to S. Fenbrook Ln.,11/11/15,6959
rcl478,Moores Pike,From S. Clarizz Blvd. to S. Fenbrook Ln.,11/12/15,6959
rcl833,Headley Road,From E. Treadwell Ln. to N. Hinkle Rd.,6/16/14,605
rcl833,Headley Road,From E. Treadwell Ln. to N. Hinkle Rd.,6/17/14,605
rcl833,Headley Road,From E. Treadwell Ln. to N. Hinkle Rd.,6/18/14,605
rcl949,Weimer Road,From W. Sudbury Dr. to W. Bloomfield Rd.,3/31/14,1227
rcl949,Weimer Road,From W. Sudbury Dr. to W. Bloomfield Rd.,4/1/14,1227
rcl949,Weimer Road,From W. Sudbury Dr. to W. Bloomfield Rd.,4/2/14,1227
s372,Rhorer Road,From S. Sare Rd. to S. Deerfield Dr.,10/15/14,2732
s372,Rhorer Road,From S. Sare Rd. to S. Deerfield Dr.,10/16/14,2732
s4017,The Stands Drive,From E. Autumn Dr. to E. Coppertree Dr.,9/22/15,1985
s4017,The Stands Drive,From E. Autumn Dr. to E. Coppertree Dr.,9/23/15,1985
s4017,The Stands Drive,From E. Autumn Dr. to E. Coppertree Dr.,9/24/15,1985
s4039,High Street,South of Meadowbrook Ct.,7/21/15,3441
s4039,High Street,South of Meadowbrook Ct.,7/22/15,3441
s4039,High Street,South of Meadowbrook Ct.,7/23/15,3441
s432,Mitchell Street,From E. Southdowns Dr. to E. Maxwell Ln.,4/28/15,755
s432,Mitchell Street,From E. Southdowns Dr. to E. Maxwell Ln.,4/29/15,755
s432,Mitchell Street,From E. Southdowns Dr. to E. Maxwell Ln.,4/30/15,755
s4424,Anita Street,From E. 2nd St. to E. Hunter Ave.,10/6/15,56
s4424,Anita Street,From E. 2nd St. to E. Hunter Ave.,10/7/15,56
s4424,Anita Street,From E. 2nd St. to E. Hunter Ave.,10/8/15,56
s445,Mitchell Street,Bet. Maxwell and 1st St.,4/28/15,243
s445,Mitchell Street,Bet. Maxwell and 1st St.,4/29/15,243
s445,Mitchell Street,Bet. Maxwell and 1st St.,4/30/15,243
s4451,2nd Street,From S. Swain Ave. to S. Mitchell St.,4/14/15,3331
s4451,2nd Street,From S. Swain Ave. to S. Mitchell St.,4/15/15,3331
s4451,2nd Street,From S. Swain Ave. to S. Mitchell St.,4/16/15,3331
s4614,10th Street,From N. Campbell St. to N. Sunrise Dr.,12/2/14,9851
s4614,10th Street,From N. Campbell St. to N. Sunrise Dr.,12/3/14,9851
s4614,10th Street,From N. Campbell St. to N. Sunrise Dr.,12/4/14,9851
s4622,Union Street,South of 10th St.,9/15/15,5427
s4622,Union Street,South of 10th St.,9/16/15,5427
s4622,Union Street,South of 10th St.,9/17/15,5427
s4622,Union Street,South of 10th St.,9/18/15,5427
t405,Rogers Road,From S. High St. to S. The Stands Dr.,9/22/15,8523
t406,Rogers Road,E. of The Stands Dr.,9/22/15,7220
t406,Rogers Road,E. of The Stands Dr.,9/23/15,7220
t406,Rogers Road,E. of The Stands Dr.,9/24/15,7220
t421,Montclair Avenue,S. of Montclair Ct.,7/21/14,634
t421,Montclair Avenue,S. of Montclair Ct.,7/22/14,634
t421,Montclair Avenue,S. of Montclair Ct.,7/23/14,634
t4220,Moores Pike,W. of Woodruff Lane,10/14/14,8002
t4220,Moores Pike,W. of Woodruff Lane,10/15/14,8002
t4220,Moores Pike,W. of Woodruff Lane,10/16/14,8002
t4221,Moores Pike,From S. Renwick Blvd. to S. Sare Rd.,10/27/14,11063
t4221,Moores Pike,From S. Renwick Blvd. to S. Sare Rd.,10/28/14,11063
t4221,Moores Pike,From S. Renwick Blvd. to S. Sare Rd.,10/29/14,11063
t429,Winston Street,From S. Churchill Ct. to S. Atlee Ct.,11/12/15,1071
t429,Winston Street,From S. Churchill Ct. to S. Atlee Ct.,11/13/15,1071
t429,Winston Street,From S. Churchill Ct. to S. Atlee Ct.,11/14/15,1071
t429,Winston Street,From S. Churchill Ct. to S. Atlee Ct.,11/15/15,1071
t429,Winston Street,From S. Churchill Ct. to S. Atlee Ct.,11/16/15,1071
t429,Winston Street,From S. Churchill Ct. to S. Atlee Ct.,11/17/15,1071
t429,Winston Street,From S. Churchill Ct. to S. Atlee Ct.,11/18/15,1071
t4332,Covenanter Drive,W. of Rechter/Woodbine,9/22/15,1046
t4332,Covenanter Drive,W. of Rechter/Woodbine,9/23/15,1046
t4332,Covenanter Drive,W. of Rechter/Woodbine,9/24/15,1046
t451,Hillside Drive,North of 5th St.,10/20/15,1075
t451,Hillside Drive,North of 5th St.,10/21/15,1075
t4527,Pete Ellis Drive,South of Lonview Dr.,12/15/15,7524
t4527,Pete Ellis Drive,South of Lonview Dr.,12/16/15,7524
t4527,Pete Ellis Drive,South of Lonview Dr.,12/17/15,7524
t4530,Lonview Drive,West of Kingston,12/15/15,3571
t4530,Lonview Drive,West of Kingston,12/16/15,3571
t4530,Lonview Drive,West of Kingston,12/17/15,3571
u407,Rogers Road,From S. Forrester St. to S. Snoody Rd.,10/14/14,3274
u407,Rogers Road,From S. Forrester St. to S. Snoody Rd.,10/15/14,3274
u407,Rogers Road,From S. Forrester St. to S. Snoody Rd.,10/16/14,3274
u4233,Moores Pike,From S. Fenbrook Ln. to S. Olcott Blvd.,3/25/15,6489
u4233,Moores Pike,From S. Fenbrook Ln. to S. Olcott Blvd.,3/26/15,6489
u4234,Moores Pike,From S. Olcott Blvd. to E. Regents Cir.,1/14/13,6033
u4234,Moores Pike,From S. Olcott Blvd. to E. Regents Cir.,1/15/13,6033
v408,Rogers Road,West of Curve,11/10/15,3493
v408,Rogers Road,West of Curve,11/11/15,3493
v408,Rogers Road,West of Curve,11/12/15,3493
v421,Moores Pike,West of S.R. 446,11/12/14,4161
v421,Moores Pike,West of S.R. 446,11/13/14,4161
v421,Moores Pike,West of S.R. 446,11/14/14,4161
v443,Smith Road,From E. Bennington Blvd. to E. Stonegate Dr.,12/3/14,4813
v443,Smith Road,From E. Bennington Blvd. to E. Stonegate Dr.,12/4/14,4813
v443,Smith Road,From E. Bennington Blvd. to E. Stonegate Dr.,12/5/14,4813
v4512,Morningside Drive,North of 3rd St.,2/18/14,405
v4512,Morningside Drive,North of 3rd St.,2/19/14,405
v4512,Morningside Drive,North of 3rd St.,2/20/14,405
v4518,Park Ridge Road,South of Morningside Dr.,2/18/14,768
v4518,Park Ridge Road,South of Morningside Dr.,2/19/14,768
v4518,Park Ridge Road,South of Morningside Dr.,2/20/14,768
v4520,Park Ridge Road,S. of Saratoga Dr.,2/18/14,1073
v4520,Park Ridge Road,S. of Saratoga Dr.,2/19/14,1073
v4520,Park Ridge Road,S. of Saratoga Dr.,2/20/14,1073
v455,Morningside Drive,From S. Smith Rd. to E. Saratoga Dr.,2/18/14,2033
v455,Morningside Drive,From S. Smith Rd. to E. Saratoga Dr.,2/19/14,2033
